window size:2
Entropy of window1:1
Entropy of window2:1
Entropy of window3:nan
Entropy of window4:1
Entropy of window5:1
Entropy of window6:1
Entropy of window7:nan
Entropy of window8:1
Entropy of window9:nan
Entropy of window10:1
Entropy of window11:nan
Entropy of window12:1
Entropy of window13:1
Entropy of window14:nan
Entropy of window15:nan
Entropy of window16:nan
Entropy of window17:1
Entropy of window18:1
Entropy of window19:1
Entropy of window20:1
Entropy of window21:1
Entropy of window22:1
Entropy of window23:1
Entropy of window24:nan
Entropy of window25:1
Entropy of window26:1
Entropy of window27:1
Entropy of window28:1
Entropy of window29:nan
Entropy of window30:1
Entropy of window31:nan
Entropy of window32:1
Entropy of window33:1
Entropy of window34:nan
Entropy of window35:nan
Entropy of window36:1
Entropy of window37:1
Entropy of window38:1
Entropy of window39:1
Entropy of window40:1
Entropy of window41:nan
Entropy of window42:nan
Entropy of window43:1
Entropy of window44:nan
Entropy of window45:1
Entropy of window46:1
Entropy of window47:1
Entropy of window48:1
Entropy of window49:nan
window size:3
Entropy of window1:0.918296
Entropy of window2:0.918296
Entropy of window3:0.918296
Entropy of window4:0.918296
Entropy of window5:0.918296
Entropy of window6:0.918296
Entropy of window7:0.918296
Entropy of window8:0.918296
Entropy of window9:0.918296
Entropy of window10:0.918296
Entropy of window11:0.918296
Entropy of window12:0.918296
Entropy of window13:0.918296
Entropy of window14:nan
Entropy of window15:nan
Entropy of window16:0.918296
Entropy of window17:0.918296
Entropy of window18:0.918296
Entropy of window19:0.918296
Entropy of window20:0.918296
Entropy of window21:0.918296
Entropy of window22:0.918296
Entropy of window23:0.918296
Entropy of window24:0.918296
Entropy of window25:0.918296
Entropy of window26:0.918296
Entropy of window27:0.918296
Entropy of window28:0.918296
Entropy of window29:0.918296
Entropy of window30:0.918296
Entropy of window31:0.918296
Entropy of window32:0.918296
Entropy of window33:0.918296
Entropy of window34:nan
Entropy of window35:0.918296
Entropy of window36:0.918296
Entropy of window37:0.918296
Entropy of window38:0.918296
Entropy of window39:0.918296
Entropy of window40:0.918296
Entropy of window41:nan
Entropy of window42:0.918296
Entropy of window43:0.918296
Entropy of window44:0.918296
Entropy of window45:0.918296
Entropy of window46:0.918296
Entropy of window47:0.918296
Entropy of window48:0.918296
window size:4
Entropy of window1:0.811278
Entropy of window2:1
Entropy of window3:0.811278
Entropy of window4:1
Entropy of window5:0.811278
Entropy of window6:1
Entropy of window7:1
Entropy of window8:1
Entropy of window9:1
Entropy of window10:1
Entropy of window11:0.811278
Entropy of window12:0.811278
Entropy of window13:0.811278
Entropy of window14:nan
Entropy of window15:0.811278
Entropy of window16:0.811278
Entropy of window17:1
Entropy of window18:1
Entropy of window19:1
Entropy of window20:1
Entropy of window21:1
Entropy of window22:0.811278
Entropy of window23:1
Entropy of window24:0.811278
Entropy of window25:1
Entropy of window26:1
Entropy of window27:0.811278
Entropy of window28:1
Entropy of window29:1
Entropy of window30:1
Entropy of window31:0.811278
Entropy of window32:0.811278
Entropy of window33:0.811278
Entropy of window34:0.811278
Entropy of window35:0.811278
Entropy of window36:1
Entropy of window37:1
Entropy of window38:1
Entropy of window39:0.811278
Entropy of window40:0.811278
Entropy of window41:0.811278
Entropy of window42:1
Entropy of window43:1
Entropy of window44:0.811278
Entropy of window45:1
Entropy of window46:1
Entropy of window47:0.811278
window size:5
Entropy of window1:0.970951
Entropy of window2:0.970951
Entropy of window3:0.970951
Entropy of window4:0.970951
Entropy of window5:0.970951
Entropy of window6:0.970951
Entropy of window7:0.970951
Entropy of window8:0.970951
Entropy of window9:0.970951
Entropy of window10:0.970951
Entropy of window11:0.721928
Entropy of window12:0.721928
Entropy of window13:0.721928
Entropy of window14:0.721928
Entropy of window15:0.721928
Entropy of window16:0.970951
Entropy of window17:0.970951
Entropy of window18:0.970951
Entropy of window19:0.970951
Entropy of window20:0.970951
Entropy of window21:0.970951
Entropy of window22:0.970951
Entropy of window23:0.970951
Entropy of window24:0.970951
Entropy of window25:0.970951
Entropy of window26:0.970951
Entropy of window27:0.970951
Entropy of window28:0.970951
Entropy of window29:0.970951
Entropy of window30:0.970951
Entropy of window31:0.721928
Entropy of window32:0.721928
Entropy of window33:0.970951
Entropy of window34:0.721928
Entropy of window35:0.970951
Entropy of window36:0.970951
Entropy of window37:0.970951
Entropy of window38:0.970951
Entropy of window39:0.721928
Entropy of window40:0.970951
Entropy of window41:0.970951
Entropy of window42:0.970951
Entropy of window43:0.970951
Entropy of window44:0.970951
Entropy of window45:0.970951
Entropy of window46:0.970951
window size:6
Entropy of window1:0.918296
Entropy of window2:1
Entropy of window3:1
Entropy of window4:1
Entropy of window5:1
Entropy of window6:1
Entropy of window7:0.918296
Entropy of window8:1
Entropy of window9:1
Entropy of window10:0.918296
Entropy of window11:0.650022
Entropy of window12:0.650022
Entropy of window13:0.918296
Entropy of window14:0.650022
Entropy of window15:0.918296
Entropy of window16:0.918296
