Window size:2
Entropy of 1:0.112877
Entropy of 2:0.185754
Entropy of 3:0.185754
Entropy of 4:0.243534
Entropy of 5:0.291509
Entropy of 6:0.332193
Entropy of 7:0.39711
Entropy of 8:0.423017
Entropy of 9:0.423017
Entropy of 10:0.445308
Entropy of 11:0.480573
Entropy of 12:0.494134
Entropy of 13:0.505288
Entropy of 14:0.52109
Entropy of 15:0.529174
Entropy of 16:0.530453
Entropy of 17:0.528771
Entropy of 18:0.525646
Entropy of 19:0.521147
Entropy of 20:0.515335
Entropy of 21:0.508269
Entropy of 22:0.5
Entropy of 23:0.490577
Entropy of 24:0.490577
Entropy of 25:0.480043
Entropy of 26:0.468441
Entropy of 27:0.455808
Entropy of 28:0.442179
Entropy of 29:0.442179
Entropy of 30:0.427589
Entropy of 31:0.395645
Entropy of 32:0.378347
Entropy of 33:0.360201
Entropy of 34:0.321458
Entropy of 35:0.279594
Entropy of 36:0.257542
Entropy of 37:0.234769
Entropy of 38:0.211293
Entropy of 39:0.187129
Entropy of 40:0.162294
Entropy of 41:0.162294
Entropy of 42:0.162294
Entropy of 43:0.136803
Entropy of 44:0.0839113
Entropy of 45:0.056538
Entropy of 46:0.0285634
Entropy of 47:-0
Entropy of 48:-0.0291405
Entropy of 49:-0.089108
Window size:3
Entropy of 1:0.112877
Entropy of 2:0.185754
Entropy of 3:0.243534
Entropy of 4:0.291509
Entropy of 5:0.367067
Entropy of 6:0.423017
Entropy of 7:0.464386
Entropy of 8:0.480573
Entropy of 9:0.494134
Entropy of 10:0.51422
Entropy of 11:0.526034
Entropy of 12:0.530615
Entropy of 13:0.528771
Entropy of 14:0.515335
Entropy of 15:0.490577
Entropy of 16:0.468441
Entropy of 17:0.442179
Entropy of 18:0.427589
Entropy of 19:0.395645
Entropy of 20:0.378347
Entropy of 21:0.34123
Entropy of 22:0.321458
Entropy of 23:0.300906
Entropy of 24:0.279594
Entropy of 25:0.257542
Entropy of 26:0.211293
Entropy of 27:0.187129
Entropy of 28:0.162294
Entropy of 29:0.136803
Entropy of 30:0.0839113
Entropy of 31:0.0285634
Entropy of 32:-0.0291405
Entropy of 33:-0.089108
Entropy of 34:-0.183119
Entropy of 35:-0.248385
Entropy of 36:-0.315641
Entropy of 37:-0.349995
Entropy of 38:-0.420114
Entropy of 39:-0.455864
Entropy of 40:-0.492065
Entropy of 41:-0.492065
Entropy of 42:-0.52871
Entropy of 43:-0.603305
Entropy of 44:-0.679598
Entropy of 45:-0.757539
Entropy of 46:-0.797114
Entropy of 47:-0.877444
Entropy of 48:-0.959313
Window size:4
Entropy of 1:0.112877
Entropy of 2:0.243534
Entropy of 3:0.291509
Entropy of 4:0.367067
Entropy of 5:0.445308
Entropy of 6:0.480573
Entropy of 7:0.505288
Entropy of 8:0.52109
Entropy of 9:0.529174
Entropy of 10:0.530453
Entropy of 11:0.521147
Entropy of 12:0.5
Entropy of 13:0.468441
Entropy of 14:0.412068
Entropy of 15:0.360201
Entropy of 16:0.300906
Entropy of 17:0.257542
Entropy of 18:0.211293
Entropy of 19:0.162294
Entropy of 20:0.110671
Entropy of 21:0.056538
Entropy of 22:0.0285634
Entropy of 23:-0.0291405
Entropy of 24:-0.0588468
Entropy of 25:-0.119914
Entropy of 26:-0.183119
Entropy of 27:-0.215499
Entropy of 28:-0.281768
Entropy of 29:-0.349995
Entropy of 30:-0.420114
Entropy of 31:-0.52871
Entropy of 32:-0.641242
Entropy of 33:-0.757539
Entropy of 34:-0.877444
Entropy of 35:-1.00081
Entropy of 36:-1.08492
Entropy of 37:-1.17046
Entropy of 38:-1.25741
Entropy of 39:-1.30141
Entropy of 40:-1.34574
Entropy of 41:-1.39041
Entropy of 42:-1.48074
Entropy of 43:-1.57237
Entropy of 44:-1.71218
Entropy of 45:-1.80692
Entropy of 46:-1.90287
Entropy of 47:-2.049
Window size:5
Entropy of 1:0.185754
Entropy of 2:0.291509
Entropy of 3:0.367067
Entropy of 4:0.445308
Entropy of 5:0.494134
Entropy of 6:0.51422
Entropy of 7:0.529174
Entropy of 8:0.528771
Entropy of 9:0.521147
Entropy of 10:0.5
Entropy of 11:0.455808
Entropy of 12:0.395645
Entropy of 13:0.321458
Entropy of 14:0.234769
Entropy of 15:0.136803
Entropy of 16:0.056538
Entropy of 17:-0.0291405
Entropy of 18:-0.089108
Entropy of 19:-0.183119
Entropy of 20:-0.248385
Entropy of 21:-0.315641
Entropy of 22:-0.384822
Entropy of 23:-0.455864
Entropy of 24:-0.52871
Entropy of 25:-0.603305
Entropy of 26:-0.679598
Entropy of 27:-0.757539
Entropy of 28:-0.877444
Entropy of 29:-0.959313
Entropy of 30:-1.08492
Entropy of 31:-1.25741
Entropy of 32:-1.43541
Entropy of 33:-1.57237
Entropy of 34:-1.7594
Entropy of 35:-1.90287
Entropy of 36:-2.049
Entropy of 37:-2.14785
Entropy of 38:-2.24782
Entropy of 39:-2.29822
Entropy of 40:-2.39983
Entropy of 41:-2.50251
Entropy of 42:-2.60624
Entropy of 43:-2.76376
Entropy of 44:-2.92354
Entropy of 45:-3.08552
Entropy of 46:-3.24964
Window size:6
Entropy of 1:0.185754
Entropy of 2:0.332193
Entropy of 3:0.423017
Entropy of 4:0.480573
Entropy of 5:0.51422
Entropy of 6:0.529174
Entropy of 7:0.525646
Entropy of 8:0.508269
Entropy of 9:0.480043
Entropy of 10:0.427589
Entropy of 11:0.34123
Entropy of 12:0.234769
Entropy of 13:0.136803
Entropy of 14:-0
Entropy of 15:-0.119914
Entropy of 16:-0.248385
Entropy of 17:-0.349995
Entropy of 18:-0.455864
Entropy of 19:-0.565792
Entropy of 20:-0.641242
Entropy of 21:-0.757539
Entropy of 22:-0.837084
Entropy of 23:-0.959313
Entropy of 24:-1.04268
Entropy of 25:-1.12751
Entropy of 26:-1.25741
Entropy of 27:-1.39041
Entropy of 28:-1.52639
Entropy of 29:-1.66526
Entropy of 30:-1.85475
Entropy of 31:-2.09828
Entropy of 32:-2.29822
Entropy of 33:-2.50251
Entropy of 34:-2.711
Entropy of 35:-2.92354
Entropy of 36:-3.08552
Entropy of 37:-3.1947
Entropy of 38:-3.30482
Entropy of 39:-3.41586
Entropy of 40:-3.58413
Entropy of 41:-3.69742
Entropy of 42:-3.86899
Entropy of 43:-4.04248
Entropy of 44:-4.27673
Entropy of 45:-4.51423
Window size:7
Entropy of 1:0.243534
Entropy of 2:0.39711
Entropy of 3:0.464386
Entropy of 4:0.505288
Entropy of 5:0.529174
Entropy of 6:0.525646
Entropy of 7:0.5
Entropy of 8:0.455808
Entropy of 9:0.395645
Entropy of 10:0.300906
Entropy of 11:0.162294
Entropy of 12:0.0285634
Entropy of 13:-0.119914
Entropy of 14:-0.281768
Entropy of 15:-0.455864
Entropy of 16:-0.603305
Entropy of 17:-0.757539
Entropy of 18:-0.877444
Entropy of 19:-1.00081
Entropy of 20:-1.12751
Entropy of 21:-1.25741
Entropy of 22:-1.39041
Entropy of 23:-1.52639
Entropy of 24:-1.61866
Entropy of 25:-1.7594
Entropy of 26:-1.95129
Entropy of 27:-2.09828
Entropy of 28:-2.29822
Entropy of 29:-2.50251
Entropy of 30:-2.76376
Entropy of 31:-3.03128
Entropy of 32:-3.30482
Entropy of 33:-3.52782
Entropy of 34:-3.81158
Entropy of 35:-4.04248
Entropy of 36:-4.21786
Entropy of 37:-4.3358
Entropy of 38:-4.51423
Entropy of 39:-4.69443
Entropy of 40:-4.87638
Entropy of 41:-5.06003
Entropy of 42:-5.24536
Entropy of 43:-5.49502
Entropy of 44:-5.81109
Window size:8
Entropy of 1:0.291509
Entropy of 2:0.423017
Entropy of 3:0.480573
Entropy of 4:0.52109
Entropy of 5:0.528771
Entropy of 6:0.508269
Entropy of 7:0.455808
Entropy of 8:0.378347
Entropy of 9:0.279594
Entropy of 10:0.136803
Entropy of 11:-0.0291405
Entropy of 12:-0.215499
Entropy of 13:-0.384822
Entropy of 14:-0.603305
Entropy of 15:-0.797114
Entropy of 16:-1.00081
Entropy of 17:-1.17046
Entropy of 18:-1.30141
Entropy of 19:-1.48074
Entropy of 20:-1.61866
Entropy of 21:-1.80692
Entropy of 22:-1.95129
Entropy of 23:-2.09828
Entropy of 24:-2.24782
Entropy of 25:-2.45104
Entropy of 26:-2.65849
Entropy of 27:-2.87003
Entropy of 28:-3.13999
Entropy of 29:-3.41586
Entropy of 30:-3.69742
Entropy of 31:-4.04248
Entropy of 32:-4.3358
Entropy of 33:-4.63417
Entropy of 34:-4.93741
Entropy of 35:-5.1834
Entropy of 36:-5.36983
Entropy of 37:-5.55788
Entropy of 38:-5.81109
Entropy of 39:-6.00282
Entropy of 40:-6.26082
Entropy of 41:-6.45607
Entropy of 42:-6.71868
Entropy of 43:-7.05053
